(-3.1119, 0.9554, -5.5964)
(-2.4723, 0.8793, -5.8131)
(-1.7973, 0.9425, -5.9461)
(-1.1189, 1.0574, -6.0365)
(-0.44, 1.1743, -6.1241)
(-3.0091, 0.7276, -5.2288)
(-2.3787, 0.6281, -5.4638)
(0.1998, 1.2594, -6.2269)
(-1.7063, 0.6694, -5.6126)
(0.6232, 1.2413, -6.2652)
(-1.028, 0.7722, -5.7129)
(-0.3492, 0.8848, -5.8043)
(0.2917, 0.9712, -5.9081)
(0.7743, 1.0318, -6.0424)
(-2.8746, 0.4338, -4.7508)
(-2.2558, 0.304, -5.004)
(-1.5878, 0.3174, -5.1723)
(-0.9098, 0.404, -5.2857)
(-0.2309, 0.51, -5.3827)
(0.4097, 0.5962, -5.4862)
(0.896, 0.6405, -5.5842)
(-2.7302, 0.1256, -4.2441)
(-2.1247, -0.0347, -4.5141)
(-1.4625, -0.0496, -4.7014)
(-0.7855, 0.0208, -4.8273)
(-0.107, 0.1203, -4.9296)
(0.5326, 0.2034, -5.0346)
(1.0194, 0.2418, -5.1374)
(-2.5828, -0.1796, -3.7362)
(-1.9923, -0.3696, -4.0218)
(-1.3374, -0.4114, -4.2264)
(-0.6629, -0.3553, -4.362)
(0.0114, -0.2604, -4.4652)
(0.6451, -0.1782, -4.5667)
(1.1326, -0.1451, -4.6726)
(-2.4318, -0.4814, -3.2271)
(-1.8583, -0.701, -3.5275)
(-1.213, -0.7692, -3.7476)
(-0.5467, -0.7262, -3.888)
(0.1118, -0.6349, -3.9833)
(0.7324, -0.5451, -4.0698)
(1.2136, -0.4903, -4.1531)
(-2.2762, -0.7791, -2.7167)
(-1.7225, -1.029, -3.0312)
(-1.0907, -1.124, -3.2651)
(-0.4409, -1.0939, -3.4044)
(0.1978, -1.0036, -3.4873)
(0.8036, -0.9004, -3.554)
(1.2745, -0.8161, -3.6095)
(-2.1151, -1.0718, -2.2049)
(-1.5848, -1.3536, -2.533)
(-0.9705, -1.4769, -2.78)
(-0.337, -1.4563, -2.9162)
(0.2859, -1.3636, -2.987)
(0.8791, -1.2476, -3.036)
(1.3378, -1.1363, -3.0641)
(-1.9469, -1.3585, -1.6917)
(-1.4441, -1.6742, -2.0329)
(-0.8498, -1.8289, -2.2954)
(-0.225, -1.8116, -2.4297)
(0.3915, -1.714, -2.4931)
(0.9796, -1.5929, -2.5332)
(1.431, -1.4695, -2.5447)
(-1.7725, -1.6407, -1.1779)
(-1.2997, -1.9925, -1.5325)
(-0.7279, -2.1851, -1.8161)
(-0.1015, -2.1662, -1.953)
(0.5219, -2.0642, -2.0176)
(1.117, -1.9472, -2.0615)
(1.5758, -1.8308, -2.0775)
(-1.6011, -1.928, -0.6665)
(-1.1565, -2.3174, -1.0354)
(-0.6087, -2.5573, -1.3492)
(0.0282, -2.5502, -1.5095)
(0.6721, -2.4445, -1.5841)
(1.2843, -2.3274, -1.6332)
(1.7551, -2.2198, -1.6551)
(-1.4372, -2.2204, -0.157)
(-1.0122, -2.6377, -0.5352)
(-0.48, -2.92, -0.8801)
(0.1592, -2.9763, -1.11)
(0.8277, -2.8758, -1.2087)
(1.4702, -2.7541, -1.2693)
(1.9697, -2.6384, -1.2779)
(-1.24, -2.4769, 0.3599)
(-0.8235, -2.8991, -0.0166)
(-0.3113, -3.2076, -0.3726)
(0.3055, -3.3341, -0.6531)
(0.978, -3.2854, -0.813)
(1.6512, -3.2156, -0.956)
(2.3824, -3.1679, -1.1623)
(-1.0154, -2.7059, 0.8819)
(-0.6001, -3.1198, 0.5094)
(-0.1169, -3.4531, 0.149)
(0.4607, -3.6312, -0.1531)
(2.8198, -3.6254, -1.4637)
(1.1131, -3.6186, -0.3457)
(1.7613, -3.634, -0.5672)
(3.1198, -4.2507, -1.4752)
(2.3114, -3.7633, -0.9278)
(3.3695, -4.8957, -1.4311)
(2.7105, -4.0357, -1.3865)
(-0.7764, -2.9253, 1.4072)
(-0.3572, -3.3275, 1.0386)
(0.0868, -3.704, 0.6643)
(3.595, -5.1188, -1.5449)
(0.6001, -3.9731, 0.3172)
(3.1269, -4.3792, -1.7134)
(1.2007, -4.0631, 0.0325)
(1.8081, -4.1451, -0.2642)
(3.5248, -4.8054, -1.7601)
(2.3234, -4.3038, -0.6667)
(3.8196, -5.1506, -1.782)
(2.6768, -4.5575, -1.1879)
(-0.5218, -3.1068, 1.9159)
(-0.0743, -3.4807, 1.5829)
(0.3623, -3.8805, 1.1847)
(3.0687, -4.8291, -1.671)
(0.7996, -4.2605, 0.7896)
(1.3015, -4.5013, 0.4026)
(3.4932, -5.0922, -2.0209)
(1.8407, -4.6672, 0.0213)
(-0.3072, -3.2386, 2.321)
(3.8911, -5.2501, -2.1884)
(2.3497, -4.8394, -0.3848)
(2.7187, -5.0853, -0.8949)
(0.7419, -3.937, 1.6652)
(0.2823, -3.5034, 2.21)
(3.1252, -5.3386, -1.3892)
(1.1452, -4.3669, 1.2523)
(1.565, -4.7373, 0.8413)
(3.5486, -5.5688, -1.8254)
(2.0074, -5.0319, 0.4074)
(3.9073, -5.7242, -2.1212)
(2.4542, -5.28, -0.0485)
(2.8782, -5.5169, -0.5327)
(0.8826, -3.6031, 2.3646)
(1.2142, -3.9139, 2.0308)
(3.3102, -5.7631, -1.0097)
(1.6001, -4.3117, 1.6363)
(2.0013, -4.7125, 1.2282)
(3.7283, -6.0017, -1.447)
(2.4081, -5.0795, 0.8016)
(4.0296, -6.2041, -1.786)
(2.8182, -5.4046, 0.3477)
(3.2301, -5.6992, -0.1226)
(1.3652, -3.596, 2.6179)
(1.6806, -3.8274, 2.3331)
(3.6403, -5.9942, -0.5926)
(2.0638, -4.1807, 1.9398)
(2.4662, -4.5596, 1.5182)
(4.0244, -6.289, -1.0264)
(2.8699, -4.9341, 1.0935)
(1.7119, -3.5675, 2.6702)
(4.302, -6.5242, -1.365)
(3.2737, -5.2887, 0.6534)
(2.0296, -3.6338, 2.552)
(2.4194, -4.0174, 2.121)
(3.6774, -5.6194, 0.197)
(2.8212, -4.3996, 1.7059)
(4.0758, -5.9525, -0.2595)
(3.2251, -4.7818, 1.2879)
(3.6288, -5.1434, 0.8514)
(4.4345, -6.3006, -0.6714)
(4.0345, -5.4746, 0.3936)
(4.6661, -6.5881, -0.9758)
(4.4341, -5.7933, -0.0784)
(4.8483, -6.4111, -0.7499)
(4.8263, -6.1376, -0.5444)
(1.9064, 4.2637, -4.443)
(2.067, 3.7013, -4.8069)
(1.9908, 3.13, -5.1843)
(1.758, 2.5855, -5.5447)
(1.4343, 2.0711, -5.8767)
(1.9233, 4.0208, -4.0801)
(2.0062, 3.4531, -4.4541)
(1.0512, 1.6204, -6.1523)
(1.9657, 2.8767, -4.8292)
(0.7882, 1.3032, -6.258)
(1.7937, 2.3214, -5.1966)
(1.4993, 1.7993, -5.5365)
(1.1267, 1.3445, -5.819)
(0.7899, 1.0437, -6.038)
(1.9512, 3.7023, -3.608)
(1.9447, 3.1322, -3.9857)
(1.9045, 2.5533, -4.3606)
(1.8021, 1.9845, -4.7338)
(1.5673, 1.4466, -5.0876)
(1.2246, 0.9805, -5.3826)
(0.9094, 0.6538, -5.5772)
(1.9622, 3.3593, -3.1123)
(1.8632, 2.798, -3.4888)
(1.7997, 2.2214, -3.8626)
(1.7509, 1.6425, -4.2357)
(1.6002, 1.0841, -4.6013)
(1.3166, 0.5978, -4.916)
(1.0325, 0.2561, -5.1314)
(1.9949, 3.0084, -2.6216)
(1.8295, 2.4587, -2.9906)
(1.7069, 1.8912, -3.3617)
(1.6573, 1.312, -3.7336)
(1.5791, 0.7407, -4.0994)
